,Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link,NAME_2,Building_num,Land_num,Area_M2
26,Manila-Tondo 4 Storey Commercial/Residential Building For Sale,"Tondo, Manila",House and Lot,Two-storey,127,320,,,,120.9654822,14.58847989,,40185050.86,https://www.lamudi.com.ph/tondo-4-storey-commercial-residential-building-for-sale.html,Manila,320,85.1,165
27,For Sale Fully Renovated 1 Bedroom with balcony in Malate near Robinsons Manila,"Malate, Manila",Commercial,Office,24,32.62,,1,1,120.9996651,14.56082872,Bay Area Suites,4096363.622,https://www.lamudi.com.ph/for-sale-fully-renovated-1-bedroom-with-balcony-in-malate-near-robinsons-manila.html,Manila,32.62,,166
28,"Lot for Sale in Manila, Ideal for Commercial/Residential Use in Santa Ana,Manila","Santa Ana, Manila",Condominium,Studio,0,,,,,120.9685415,14.6215318,,,https://www.lamudi.com.ph/lot-for-sale-in-manila-ideal-for-commercial-residential-use-in-santa-ana-manila.html,Manila,,914.7,149
29,4BR Condo Unit with Balcony for Sale at One Legacy Grandsuites in Binondo Manila,"Binondo, Manila",Condominium,2BR,100,157.8,,4,4,121.0186575,14.55950729,One Legacy Grandsuites,19816253.21,https://www.lamudi.com.ph/4br-condo-unit-with-balcony-for-sale-at-one-legacy-grandsuites-in-binondo-manila.html,Manila,157.8,,157.8
30,143k only to move-in. Brand New Studio near La Salle-CSB-Benilde. Rent To Own.,"Malate, Manila",Townhouse,Inner,45,20.77,,1,1,120.963709,14.60327414,3Torre Lorenzo,2608260.958,https://www.lamudi.com.ph/143k-only-to-move-in-brand-new-studio-near-la-sall-165933027281.html,Manila,20.77,,147
31,"For mixed-use development - Vacant Commercial Lot at Santa Cruz, Manila","Santa Cruz, Manila",Condominium,Penthouse,149,,,,,121.0147388,14.57220251,,,https://www.lamudi.com.ph/for-mixed-use-development-vacant-commercial-lot-at-santa-cruz-manila.html,Manila,,627.5,164
32,Price Reduced 2.5 Million RFO March 2023 Full Payment New Price 3.6 Mil Manila,"Malate, Manila",Townhouse,Inner,68,22,,1,1,120.9659606,14.58501588,Victoria de Malate,2762722.247,https://www.lamudi.com.ph/price-reduced-2-5-million-rfo-march-2023-full-paym-165916162851.html,Manila,22,,197
33,For Sale 2Bedroom Condominium in Radiance Manila Bay Rent to Own 5% Down Move-in,"Roxas Boulevard, Manila",House and Lot,Bungalow,16,80,,2,1,120.9912961,14.62168535,Radiance Manila Bay,10046262.72,https://www.lamudi.com.ph/for-sale-2bedroom-condominium-in-radiance-manila-bay-rent-to-own-5-down-move-in.html,Manila,80,,80
34,"Admiral Baysuites: RUSH2BR For Sale 110 sqm, w/ balcony, Manila Bay View, P15.5M","Malate, Manila",Condominium,2BR,126,110,0,2,3,121.0377393,14.62496119,Admiral Baysuites,13813611.23,https://www.lamudi.com.ph/admiral-baysuites-rush2br-for-sale-110-sqm-w-balco-165872265163.html,Manila,110,,110
35,"Ancestral House & Lot for Sale Located at New Antipolo, Tondo, Manila City","Tondo, Manila",Commercial,Retail,187,380,4,4,3,120.973033,14.5640847,,47719747.9,https://www.lamudi.com.ph/ancestral-house-lot-for-sale-located-at-new-antipolo-tondo-manila-city.html,Manila,380,307,174
36,1Bedroom Condo in Manila Bay Rent To Own 5% DP 33k Monthly,"Roxas Boulevard, Manila",Commercial,Office,24,49,,1,1,121.047001,14.62241958,Radiance Manila Bay,6153335.913,https://www.lamudi.com.ph/1bedroom-condo-in-manila-bay-rent-to-own-5-dp-33k-monthly.html,Manila,49,,130
37,"1 Bedroom Condominium unit For Sale at D' University Place, Ermita, Manila","Ermita, Manila",Condominium,Penthouse,142,31,,1,1,120.9732632,14.55149234,D' University Place ,3892926.802,https://www.lamudi.com.ph/1-bedroom-condominium-unit-for-sale-at-d-university-place-ermita-manila.html,Manila,31,,121
38,Property near UST For Sale (NOT ACCESSIBLE TO 4-WHEEL VEHICLE) in Manila,"Sampaloc, Manila",Commercial,Office,168,80,,5,3,120.9857276,14.61318086,,10046262.72,https://www.lamudi.com.ph/property-near-ust-for-sale-not-accessible-to-4-wheel-vehicle-in-manila.html,Manila,80,54,80
39,"For Sale Studio Unit at Torre Lorenzo Malate in Malate, Manila","Malate, Manila",House and Lot,Two-storey,146,26.46,,1,1,120.9576419,14.62618542,Torre Lorenzo Malate,3322801.393,https://www.lamudi.com.ph/for-sale-studio-unit-at-torre-lorenzo-malate-in-malate-manila.html,Manila,26.46,,129
40,2BR Luxury Condo Unit for Sale at Cornell Parksuites in Binondo Manila | 91.40 sqm,"Binondo, Manila",Townhouse,End,192,91.4,,2,3,121.0278547,14.62320781,Cornell Parksuites,11477855.15,https://www.lamudi.com.ph/2br-luxury-condo-unit-for-sale-at-cornell-parksuites-in-binondo-manila-91-40-sqm.html,Manila,91.4,,91.4
41,"Rare Huge Commercial Lot for Sale in Sta Mesa, Manila Near Gilmore Ave & SM","Santa Mesa, Manila",Townhouse,Inner,199,,,,,120.9809761,14.61509302,,,https://www.lamudi.com.ph/rare-huge-commercial-lot-for-sale-in-sta-mesa-manila-near-gilmore-ave-sm.html,Manila,,3179,102
42,"Commercial/Residential Lot for Sale in Sta. Ana, Manila","Santa Ana, Manila",House and Lot,Bungalow,92,,,,,120.9771592,14.57567196,,,https://www.lamudi.com.ph/commercial-residential-lot-for-sale-in-sta-ana-manila.html,Manila,,914,159
43,914.7sqm Prime Commercial/Residential with structure for sale in Sta. Ana Manila,"Santa Ana, Manila",Townhouse,Inner,131,,,,,121.0583739,14.6150902,,,https://www.lamudi.com.ph/914-7sqm-prime-commercial-residential-with-structure-for-sale-in-sta-ana-manila.html,Manila,,914.7,162
44,"3,179 sqm Prime Commercial Lot for Sale in Sta. Mesa,Manila Nr. Greenhills","Santa Mesa, Manila",Commercial,Retail,139,,,,,121.0153984,14.61894196,,,https://www.lamudi.com.ph/3-179-sqm-prime-commercial-lot-for-sale-in-sta-mesa-manila-nr-greenhills.html,Manila,,3179,101
45,"Newly Renovated 3BR Townhouse for Sale in Santa Mesa, Manila","Santa Mesa, Manila",House and Lot,Bungalow,28,100,,3,3,120.9524972,14.55055601,,12557828.39,https://www.lamudi.com.ph/newly-renovated-3br-townhouse-for-sale-in-santa-mesa-manila.html,Manila,100,70,100
46,"For Sale: 1BR Unit 33.50sqm in Peninsula Garden Midtown Homes, Paco Manila","Paco, Manila",Commercial,Retail,154,33.5,,1,1,121.0010393,14.60994211,Peninsula Garden Midtown Homes,4206872.512,https://www.lamudi.com.ph/for-sale-1br-unit-33-50sqm-in-peninsula-garden-midtown-homes-paco-manila.html,Manila,33.5,,122
47,"Fully Furnished 2 Bedroom Unit for Sale at Robinsons Place Res in Ermita, Manila","Ermita, Manila",Condominium,Studio,190,98,,2,2,121.0523094,14.57271342,Robinsons Place Residences,12306671.83,https://www.lamudi.com.ph/fully-furnished-2-bedroom-unit-for-sale-at-robinsons-place-res-in-ermita-manila.html,Manila,98,,98
48,RFO For sale 2 Bedroom with balcony in Malate overlooking Robinsons Manila,"Malate, Manila",House and Lot,Two-storey,93,32.62,,2,1,121.0330035,14.58922354,Bay Area Suites,4096363.622,https://www.lamudi.com.ph/rfo-for-sale-2-bedroom-with-balcony-in-malate-overlooking-robinsons-manila.html,Manila,32.62,,162
49,"2 Bedroom Condominium in Ermita, Manila, Parkview By Suntrust for Sale","Ermita, Manila",Townhouse,End,12,30,0,2,1,120.970658,14.56846757,Parkview by Suntrust,3767348.518,https://www.lamudi.com.ph/2-bedroom-condominium-in-ermita-manila-parkview-by-suntrust-for-sale.html,Manila,30,,200
50,"CDN - FOR SALE: Commercial Mall in Santa Cruz, Manila","Santa Cruz, Manila",Townhouse,Inner,95,1413,,,,121.0214088,14.61216278,,177442115.2,https://www.lamudi.com.ph/cdn-for-sale-commercial-mall-in-santa-cruz-manila.html,Manila,1413,1300,161
51,Commercial Mall Building For Sale Located In Manila,"Santa Cruz, Manila",Condominium,Studio,109,1413,10,,,121.0456605,14.56567717,,177442115.2,https://www.lamudi.com.ph/commercial-mall-building-for-sale-located-in-manila.html,Manila,1413,1300,132
52,"PVT2021-0025: 2 Bedroom Condo Unit for Sale in Malate, Manila","Malate, Manila",House and Lot,Two-storey,10,83.4,,2,1,121.0538458,14.5965058,Burgundy Westbay Tower,10473228.88,https://www.lamudi.com.ph/pvt2021-0025-2-bedroom-condo-unit-for-sale-in-malate-manila.html,Manila,83.4,,83.4
53,"For Sale Townhouse @ Leon Guinto St., Malate,Manila near De La Salle University","Malate, Manila",House and Lot,Bungalow,150,148.36,1,3,3,120.9594799,14.56621606,,18630794.21,https://www.lamudi.com.ph/for-sale-townhouse-leon-guinto-st-malate-manila-near-de-la-salle-university.html,Manila,148.36,47.3,148.36
54,"Penthouse 2 Bedroom w/ Parking for sale at Torre De Manila, Manila","Ermita, Manila",Condominium,Penthouse,60,57,2,2,1,120.9549348,14.62885878,Torre De Manila,7157962.185,https://www.lamudi.com.ph/penthouse-2-bedroom-w-parking-for-sale-at-torre-de-manila-manila.html,Manila,57,,182
55,Spacious Brand New 1 BR Condo with Balcony @ Torre De Manila For Sale,"Ermita, Manila",Townhouse,End,16,42,,1,1,121.0546474,14.59090254,Torre De Manila,5274287.926,https://www.lamudi.com.ph/spacious-brand-new-1-br-condo-with-balcony-torre-de-manila-for-sale.html,Manila,42,,175
56,"5% DP Ready to Move in with Free parking for sale in Santa Mesa, Manila 2BR","Santa Mesa, Manila",Commercial,Retail,65,56,,2,2,121.0527904,14.59282968,The Silk Residences,7032383.901,https://www.lamudi.com.ph/5-dp-ready-to-move-in-with-free-parking-for-sale-in-santa-mesa-manila-2br.html,Manila,56,,199
57,"Acropolis Loyola | Lots for Sale in Matandang Balara, Quezon City","Matandang Balara, Quezon City",House and Lot,Bungalow,142,,,,,120.9952669,14.62209617,,,https://www.lamudi.com.ph/acropolis-loyola-10-discount-hurry-up-commercial-166117642433.html,Quezon City,,300,193
58,Grand Eastwood Palazzo 2 Bedroom Upgraded Unit w/ Parking High Floor,"Bagumbayan, Quezon City",Commercial,Retail,107,73,1,2,2,120.9723709,14.57014042,The Grand Eastwood Palazzo,9167214.728,https://www.lamudi.com.ph/grand-eastwood-palazzo-2-bedroom-upgraded-unit-w-p-166115673936.html,Quezon City,73,,103
59,For Sale! Commercial Lot in Cubao. (P. Tuazon side),"Cubao, Quezon City",Condominium,2BR,6,,,,,120.9691464,14.61792954,,,https://www.lamudi.com.ph/for-sale-commercial-lot-in-cubao-p-tuazon-side-166090619181.html,Quezon City,,413,110
60,"Northview 1, Batasan - San Mateo Road, QC LOT with old house for SALE","Batasan Hills, Quezon City",Commercial,Retail,58,,,,,120.9867047,14.58428755,,,https://www.lamudi.com.ph/northview-1-batasan-san-mateo-road-qc-lot-with-old-16607293965.html,Quezon City,,360,137
61,Good Investment Commercial Property in Quezon Avenue for Sale,"Quezon Avenue, Quezon City",House and Lot,Two-storey,66,3301.9,,,,121.0280648,14.56421874,,414646935.8,https://www.lamudi.com.ph/good-investment-commercial-property-in-quezon-aven-166071952629.html,Quezon City,3301.9,2000,165
62,ADG - FOR SALE: Old House along D Tuazon Sta. Mesa Heights QC,"Maharlika, Quezon City",Commercial,Office,190,,,,,120.9812354,14.55103802,,,https://www.lamudi.com.ph/adg-for-sale-old-house-along-d-tuazon-sta-mesa-hei-166062480144.html,Quezon City,,800,131
63,Cubao Lot for Sale in Quezon City with Existing Bungalow House Nr. Farmers Plaza,"Cubao, Quezon City",Townhouse,End,190,,,,,121.0444801,14.5884559,,,https://www.lamudi.com.ph/cubao-lot-for-sale-in-quezon-city-with-existing-bu-166061873149.html,Quezon City,,600,118
64,"For Sale Skyline Premiere 2-Bedroom Unit - One Balete Compound, Quezon City","Kaunlaran, Quezon City",Condominium,1BR,194,153,2,2,2,121.0159422,14.60906667,Skyline Premiere,19213477.44,https://www.lamudi.com.ph/skyline-premiere-2br-unit-one-balete-compound-166054654221.html,Quezon City,153,,153
65,For Sale Brand New Single Home in Congressional Avenue Quezon City,"Congressional Avenue, Quezon City",Condominium,Studio,16,400,,4,4,120.9744901,14.61271988,,50231313.58,https://www.lamudi.com.ph/brandnew-single-home-in-congressional-avenue-qc-166040811561.html,Quezon City,400,240,177
66,"Batasan Hills, Sunnyside Heights 3 Bedrooms House and Lot For Sale, Quezon City","Batasan Hills, Quezon City",Condominium,1BR,150,80,2,3,2,121.0467584,14.59859889,,10046262.72,https://www.lamudi.com.ph/batasan-hills-sunnyside-heights-3bedrooms-house-an-166028816385.html,Quezon City,80,133,80
67,Tomas Morato Quezon City Townhouse for Sale - 48.8M,"Diliman, Quezon City",Commercial,Retail,144,500,7,4,5,121.0215551,14.60754443,,62789141.97,https://www.lamudi.com.ph/tomas-morato-quezon-city-townhouse-for-sale-48-8m-166020212051.html,Quezon City,500,97.6,133
68,Vista pointe Katipunan condo in front of Miriam college and ateneo,"Katipunan, Quezon City",Condominium,2BR,97,21,,1,1,121.0107427,14.58020817,Vista Pointe,2637143.963,https://www.lamudi.com.ph/vista-pointe-katipunan-condo-in-front-of-miriam-co-166017506398.html,Quezon City,21,,109
69,GR357 Brand New 2-Car Townhouse near Q. Avenue & E. Rodriguez,"E. Rodriguez, Quezon City",Townhouse,End,30,210,,3,3,120.9693059,14.59861714,,26371439.63,https://www.lamudi.com.ph/gr357-brand-new-2-car-townhouse-near-q-avenue-e-ro-166012508375.html,Quezon City,210,85,153
70,"Rush Sale!! House and Lot for sale in Project 4, Quezon City","Project 4, Quezon City",Townhouse,End,127,290,2,7,5,120.991891,14.55530096,,36417702.34,https://www.lamudi.com.ph/rush-sale-project-4-house-and-lot-166003388287.html,Quezon City,290,368.7,162
71,Brand New Single Detached New Manila Townhouse With Elevator Below 100M For Sale,"New Manila, Quezon City",House and Lot,Bungalow,142,600.27,,5,5,120.962121,14.55175076,,75380876.5,https://www.lamudi.com.ph/brand-new-single-detached-new-manila-townhouse-wit-166002346971.html,Quezon City,600.27,231,132
72,For sale 6 Bedrooms House and Lot in Tivoli Greens - Quezon City,"Batasan Hills, Quezon City",Townhouse,Inner,109,277,2,6,4,120.9725561,14.57895965,,34785184.65,https://www.lamudi.com.ph/for-sale-house-and-lot-tivoli-greens-quezon-city-16599757172.html,Quezon City,277,300,194
73,"For Sale Tomas Morato Brand New 4 Storey Building, Diliman Quezon City","Kristong Hari, Quezon City",Townhouse,End,145,309.81,,,,120.9986161,14.6189403,,38905408.15,https://www.lamudi.com.ph/for-sale-rent-tomas-morato-brand-new-4-storey-buil-165993887159.html,Quezon City,309.81,98.27,119
74,"Pre-selling in Katipunan near Ateneo de Manila, Miriam affordable condo","Katipunan, Quezon City",House and Lot,Bungalow,88,17,,1,1,121.0146741,14.55592926,101 Xavierville,2134830.827,https://www.lamudi.com.ph/pre-selling-in-katipunan-near-ateneo-de-manila-mir-165993786767.html,Quezon City,17,,151
75,"Commercial Building for Sale Quezon City, Tomas Morato, Diliman Brand New","Diliman, Quezon City",Townhouse,End,141,309.81,,,,121.0186961,14.58663043,,38905408.15,https://www.lamudi.com.ph/commercial-building-for-sale-quezon-city-tomas-mor-165960506354.html,Quezon City,309.81,98.27,130
76,"Tomas Morato Brand New Commercial Building for Sale Quezon City, Diliman","Kristong Hari, Quezon City",Townhouse,End,158,309.81,2,,,121.0156746,14.6140293,,38905408.15,https://www.lamudi.com.ph/tomas-morato-brand-new-commercial-building-for-sal-165988282533.html,Quezon City,309.81,98.27,165
77,"Modern Design Commercial Building for Sale in Quezon City, Tomas Morato, Diliman","Diliman, Quezon City",Townhouse,End,109,309.81,,,,121.0453701,14.55723319,,38905408.15,https://www.lamudi.com.ph/modern-design-commercial-building-for-sale-in-quez-165959450471.html,Quezon City,309.81,98.27,102
78,"Brand New Commercial Building for Sale in Quezon City, Tomas Morato Avenue","Kristong Hari, Quezon City",Commercial,Retail,95,309.81,2,,,120.9596009,14.56956495,,38905408.15,https://www.lamudi.com.ph/brand-new-commercial-building-for-sale-in-quezon-c-165959450231.html,Quezon City,309.81,98.27,135
79,"Quezon City Commercial Building for Sale in Tomas Morato Avenue, Diliman","Diliman, Quezon City",Commercial,Retail,155,309.81,,,,120.9593202,14.60091656,,38905408.15,https://www.lamudi.com.ph/quezon-city-commercial-building-for-sale-rent-in-t-165959450146.html,Quezon City,309.81,98.27,189
80,"Commercial Building for Sale in Quezon City, Tomas Morato Avenue, Diliman","Diliman, Quezon City",Townhouse,End,196,309.81,2,,,120.9865634,14.57305986,,38905408.15,https://www.lamudi.com.ph/commercial-building-for-sale-in-quezon-city-tomas-165975982519.html,Quezon City,309.81,98.27,129
81,"Brand New Commercial Building for Sale in Quezon City, Tomas Morato Ave, Diliman","Diliman, Quezon City",House and Lot,Bungalow,3,309.81,2,,,121.0369744,14.56632716,,38905408.15,https://www.lamudi.com.ph/brand-new-commercial-building-for-sale-in-quezon-c-165959369979.html,Quezon City,309.81,98.27,190
82,Quezon City Brand New Commercial Building for Sale in Tomas Morato,"South Triangle, Quezon City",Commercial,Retail,130,309,,,,121.0100547,14.61254566,,38803689.74,https://www.lamudi.com.ph/quezon-city-brand-new-commercial-building-for-sale-165969973695.html,Quezon City,309,98,119
83,Tomas Morato Modern 4-Storey Commercial Building for Sale in Quezon City,"Quezon Avenue, Quezon City",Commercial,Retail,16,309.81,,,,120.9948568,14.59333432,,38905408.15,https://www.lamudi.com.ph/tomas-morato-modern-4-storey-commercial-building-f-165970058734.html,Quezon City,309.81,98.27,115
84,"Premium Townhouse for sale in Tandang Sora, Quezon city","Tandang Sora, Quezon City",Townhouse,End,83,183,2,3,4,121.0182571,14.56521876,,22980825.96,https://www.lamudi.com.ph/2-unit-premium-townhouse-in-tandang-sora-quezon-ci-165952313753.html,Quezon City,183,90,183
85,"For Sale House and Lot in Matandang Balara, Quezon City at Capitol Homes","Capitol Hills, Quezon City",Condominium,2BR,119,850,,5,5,120.9941533,14.5794655,,106741541.4,https://www.lamudi.com.ph/for-sale-house-and-lot-in-matandang-balara-quezon-165951794817.html,Quezon City,850,663,195
86,"House and Lot for Sale in Matandang Balara, Quezon City at Capitol Homes","Matandang Balara, Quezon City",Condominium,2BR,200,850,,5,5,121.0050685,14.56489421,,106741541.4,https://www.lamudi.com.ph/house-and-lot-for-sale-in-matandang-balara-quezon-165951771158.html,Quezon City,850,663,126
87,4 bedrooms Skyvillas at One Balete Compound,"Kaunlaran, Quezon City",Townhouse,End,106,361,,4,6,120.9573225,14.55039633,Skyvillas,45333760.5,https://www.lamudi.com.ph/4-bedrooms-skyvillas-at-one-balete-compound-165947155436.html,Quezon City,361,,130
88,2 Bedroom Condominium Avida Towers New Manila near Ortigas & Cubao,"Bagong Lipunan Ng Crame, Quezon City",House and Lot,Bungalow,136,49.67,,2,1,120.9933529,14.58428489,Avida Towers New Manila,6237473.364,https://www.lamudi.com.ph/2-bedroom-condominium-avida-towers-new-manila-near-165943139687.html,Quezon City,49.67,,131
89,"5 Bedroom House and Lot For Sale in Loyola Grand Villas, Quezon City","Matandang Balara, Quezon City",House and Lot,Two-storey,23,500,4,5,6,121.0135783,14.55097947,,62789141.97,https://www.lamudi.com.ph/5-bedroom-house-and-lot-for-sale-in-loyola-grand-v-165933895397.html,Quezon City,500,600,113
90,The Residences at Commonwealth by Century Suite 20.700 sqm with Pool Amenities,"Batasan Hills, Quezon City",Condominium,Studio,26,20.7,,1,1,120.9780482,14.55353413,The Residences at Commonwealth,2599470.478,https://www.lamudi.com.ph/the-residences-at-commonwealth-by-century-suite-20-165918350582.html,Quezon City,20.7,,143
91,La Vista Mansion in Quezon City for Sale,"Pansol, Quezon City",Townhouse,Inner,79,800,,5,,120.9596504,14.60608464,,100462627.2,https://www.lamudi.com.ph/la-vista-mansion-in-quezon-city-for-sale-165888623571.html,Quezon City,800,1716,146
92,Quezon City House and Lot for Sale in Capitol Homes,"Matandang Balara, Quezon City",House and Lot,Two-storey,9,850,,5,5,120.9709157,14.56386201,,106741541.4,https://www.lamudi.com.ph/quezon-city-house-and-lot-for-sale-in-capitol-home-165872750821.html,Quezon City,850,663,154
93,House and Lot for Sale in Quezon City at Capitol Homes,"Matandang Balara, Quezon City",Commercial,Office,112,850,5,5,5,121.0451555,14.60138078,,106741541.4,https://www.lamudi.com.ph/house-and-lot-for-sale-in-quezon-city-at-capitol-h-165951666162.html,Quezon City,850,663,184
